acm-81,Finding Factorials
acm-82,Finding Factorials
acm-82,Lexicographical Anagrams
acm-84,Finding Factorials
acm-84,Lexicographical Anagrams
acm-85,Finding Factorials
acm-87,Finding Factorials
acm-87,Lexicographical Anagrams
acm-88,Finding Factorials
acm-91,Finding Factorials
acm-91,Lexicographical Anagrams
acm-93,Finding Factorials
acm-95,Finding Factorials
acm-95,Lexicographical Anagrams
acm-96,Finding Factorials
acm-96,Lexicographical Anagrams
acm-96,Knightly Tours
acm-97,Finding Factorials
acm-97,Lexicographical Anagrams
acm-98,Finding Factorials
acm-98,Lexicographical Anagrams
acm-100,Finding Factorials
acm-101,Finding Factorials
acm-102,Finding Factorials
acm-103,Finding Factorials
acm-103,Lexicographical Anagrams
acm-104,Finding Factorials
acm-104,Lexicographical Anagrams
acm-105,Finding Factorials
acm-106,Finding Factorials
acm-108,Finding Factorials
acm-109,Finding Factorials
acm-111,Finding Factorials
acm-111,Lexicographical Anagrams
acm-112,Finding Factorials
acm-119,Lexicographical Anagrams
acm-120,Finding Factorials
acm-121,Finding Factorials
acm-124,Finding Factorials
